Timestamp,Filled in by,Date of experiment,Time slot,Experimenter,Confederate,Participant ID:,Question # was touch received,Script,a,b,c,d,e,f,g,h,i,j,k,l,Meaning of the touch,Meaning of touch matched tactile stimuli?,Why or why not?
20/11/2018 17:56:43,Fenella,20/11/2018,11:00:00,Fenella,Emily,1,2,B,6,6,4,4,6,5,4,4,3,3,3,4,To support the statement that the participant is better than the rest,3,It felled funny
20/11/2018 18:37:21,Fenella,20/11/2018,11:00:00,Fenella,Emily,1,4,B,5,5,4,4,5,5,4,3,3,3,3,4,To support the happy feeling she described,4,It was a nice feeling
21/11/2018 10:15:16,Piet,21/11/2018,9:00:00,Piet,Maureen,101,2,A,4,4,3,5,6,3,3,5,4,2,5,7,Establish personal connection (contact),4,It provided the feeling that the other participant was closer and more involved.
21/11/2018 10:17:37,Piet,21/11/2018,9:00:00,Piet,Maureen,101,4,A,4,3,5,4,5,6,4,5,3,5,5,6,To establish some connection (to seem closer to me).,2,"The subject of question was less personal than the other questions, and therefore the touch was a bit unnecessary. "
21/11/2018 10:23:52,Piet,21/11/2018,9:30:00,Piet,Maureen,102,2,A,5,5,5,5,5,6,4,3,4,3,3,3,I think that the person is giving a signal that what they said (or type) is true and genuine (original feeling). ,3,50/50 because there are only one type of 'touch' so it could be having another meaning. 
21/11/2018 10:25:41,Piet,21/11/2018,9:30:00,Piet,Maureen,102,4,A,3,3,3,4,4,4,4,3,4,3,3,3,I feel that the other person is trying to show that he/she is very confident with the answer or have strong emotion to the information on the answer. ,4,I just feel it like that. 
21/11/2018 10:50:20,Piet,21/11/2018,10:00:00,Piet,Maureen,103,2,B,5,5,4,6,4,5,5,6,3,5,6,5,To give me a warning not to ask questions about the specific information. ,2,The favourite subject at school for me is not a specific question and only a general asking. Can be answered easily. 
21/11/2018 10:53:21,Piet,21/11/2018,10:00:00,Piet,Maureen,103,4,B,5,4,4,3,4,5,3,4,2,4,4,5,"To share her happiness, remembering childhood memories of playing lego, because the question is about the favourite toy as a child. ",4,"The touch is more relaxed, smoother than previous. I think the message is to deliver the happiness. "
21/11/2018 11:20:02,Piet,21/11/2018,10:30:00,Piet,Maureen,104,2,B,4,4,4,4,4,4,5,5,5,5,5,3,Here I am,4,comfort
21/11/2018 11:22:07,Piet,21/11/2018,10:30:00,Piet,Maureen,104,4,B,1,1,1,1,1,1,4,4,3,6,6,3,"To comfort, like Lego playing. ",4,Like the soft touch
21/11/2018 11:49:32,Piet,21/11/2018,11:00:00,Piet,Maureen,105,4,B,6,7,2,2,2,1,6,6,5,5,4,4,I think the participant was excited by her response to the 4th question and wanted to convey that to me. ,2,It was more buzzy and alerting than expression joy. 
